Round,Date,Time,Team 1,FT,Team 2,Venue
26,Mon Dec 21 2020,20:00,Corinthians,2-1,Goiás,Arena Corinthians
27,Sat Dec 26 2020,17:00,Atlético Mineiro,2-0,Coritiba,Estádio Raimundo Sampaio
27,Sat Dec 26 2020,19:00,Fortaleza,0-0,Flamengo,Estádio Castelão
27,Sat Dec 26 2020,19:00,Goiás,1-0,Sport Recife,Estádio de Hailé Pinheiro
27,Sat Dec 26 2020,21:00,Fluminense,1-2,São Paulo,Estadio Jornalista Mário Filho
27,Sun Dec 27 2020,16:00,Bahia,1-2,Internacional,Estádio Governador Roberto Santos
27,Sun Dec 27 2020,16:00,Botafogo (RJ),0-2,Corinthians,Estádio Nilton Santos
27,Sun Dec 27 2020,18:15,Atl Paranaense,3-0,Vasco da Gama,Estádio Joaquim Américo Guimarães
27,Sun Dec 27 2020,18:15,Palmeiras,1-0,Bragantino,Allianz Parque
27,Sun Dec 27 2020,18:15,Santos,1-1,Ceará,Estádio Urbano Caldeira
27,Sun Dec 27 2020,20:30,Grêmio,2-1,Atl Goianiense,Arena do Grêmio
28,Wed Jan 6 2021,19:15,Botafogo (RJ),,Atl Paranaense,Estádio Nilton Santos
28,Wed Jan 6 2021,20:30,Grêmio,,Bahia,Arena do Grêmio
28,Wed Jan 6 2021,20:30,Sport Recife,,Fortaleza,Estádio Adelmar da Costa Carvalho
28,Wed Jan 6 2021,20:30,Coritiba,,Goiás,Estádio Major Antônio Couto Pereira
28,Wed Jan 6 2021,21:30,Bragantino,,São Paulo,Estádio Nabi Abi Chedid
28,Wed Jan 6 2021,21:30,Flamengo,,Fluminense,Estadio Jornalista Mário Filho
28,Thu Jan 7 2021,19:00,Ceará,,Internacional,Estádio Castelão
28,Thu Jan 7 2021,21:00,Atl Goianiense,,Vasco da Gama,Estádio Olímpico Pedro Ludovico Teixeira
29,Sat Jan 9 2021,19:00,Sport Recife,,Palmeiras,Estádio Adelmar da Costa Carvalho
